marca_tiempo,edad,genero,zona_residencia,nivel_educativo,nivel_socioeco,horas_estudio,asistencia,plataforma,horas_redes,momento_uso,actividad_fisica,sintomas_abstine,alteracion_sueno,modificacion_ani,ansiedad,depresion,autoestima,promedio_raw,distraccion_acad,promedio,cat_horas_redes
17/05/2025 00:29:40,22,Male,Urban,Tertiary Education,Tertiary Education,1,80,Facebook,5,Night,Yes,No symtoms,4,5,5,5,5,3.7,5,3.7,4–6 h
17/05/2025 00:57:50,23,Male,Urban,Tertiary Education,SSC / O' Level,2,70,Facebook,4,Night,Yes,Feeling restless,3,5,4,3,4,3.5,4,3.5,2–4 h
17/05/2025 01:41:25,22,Male,Urban,Tertiary Education,Tertiary Education,4,NA,Instagram,3,Night,No,No symtoms,5,5,5,5,5,4/4,5,4,2–4 h
17/05/2025 03:41:27,21,Female,Urban,Tertiary Education,Tertiary Education,8,100,YouTube,2,Afternoon,Yes,No symtoms,5,1,1,2,1,3.9,2,3.9,0–2 h
17/05/2025 03:51:44,21,Female,Urban,Tertiary Education,Tertiary Education,1,70,Instagram,3.5,Night,Yes,No symtoms,4,3,1,1,3,3.45,2,3.45,2–4 h
17/05/2025 10:00:40,22,Female,Urban,Tertiary Education,Tertiary Education,3,85,YouTube,2,Evening,No,No symtoms,3,2,3,3,2,CGPA 3.72,3,3.72,0–2 h
17/05/2025 10:28:42,22,Female,Urban,Tertiary Education,Tertiary Education,3,100,YouTube,4.5,Night,No,No symtoms,5,3,2,2,2,3.9,3,3.9,4–6 h
17/05/2025 10:35:13,21,Male,Urban,HSC / A' Level,HSC / A' Level,0,70,YouTube,3,Night,Yes,No symtoms,3,3,3,1,1,3.75,3,3.75,2–4 h
17/05/2025 11:46:01,24,Male,Urban,Tertiary Education,HSC / A' Level,3,75,Facebook,8,Night,No,Cravings,4,4,5,4,3,3.63 ( CGPA) ,4,3.63,>6 h
17/05/2025 13:11:00,23,Female,Urban,Tertiary Education,Tertiary Education,4,98,YouTube,2.5,Evening,No,No symtoms,2,1,2,2,1,3.88,4,3.88,2–4 h
17/05/2025 15:40:03,20,Female,Urban,Tertiary Education,Tertiary Education,2,99,Facebook,3.66666666666667,Night,No,Feeling restless,2,3,2,3,3,3.67,2,3.67,2–4 h
17/05/2025 17:56:05,21,Female,Urban,Tertiary Education,HSC / A' Level,2,100,YouTube,6,Night,Yes,No symtoms,3,4,3,3,2,3.94,3,3.94,4–6 h
17/05/2025 18:56:22,22,Female,Rural,Tertiary Education,Madrasah,1,95,Instagram,6,Night,Yes,Feeling restless,2,5,5,5,5,Cgpa 3.68,4,3.68,4–6 h
19/05/2025 01:04:00,20,Male,Urban,Tertiary Education,Tertiary Education,6,99,Facebook,1,Morning,Yes,Feeling restless,3,4,5,2,1,CGPA- 3.78,2,3.78,0–2 h
19/05/2025 14:04:56,21,Male,Urban,Tertiary Education,Tertiary Education,2,80,Facebook,4,Night,No,Irritability or agitation,2,3,3,4,4,3.75 CGPA,4,3.75,2–4 h
19/05/2025 17:09:27,21,Male,Urban,Tertiary Education,Tertiary Education,1,65,YouTube,6.5,Night,No,Feeling restless,4,4,4,1,4,Cgpa 3.60,1,3.6,>6 h
20/05/2025 00:34:06,22,Female,Urban,Tertiary Education,HSC / A' Level,2,75,YouTube,6,Night,No,Irritability or agitation,5,4,3,4,4,3.03,4,3.03,4–6 h
20/05/2025 11:17:07,22,Male,Urban,Tertiary Education,Tertiary Education,3,90,Facebook,4,Night,Yes,Feeling restless,4,3,4,4,3,3.66,4,3.66,2–4 h
20/05/2025 15:18:08,24,Male,Rural,Tertiary Education,HSC / A' Level,3,85,Facebook,3,Night,No,No symtoms,4,3,3,3,3,CGPA 3.21,1,3.21,2–4 h
20/05/2025 18:11:29,23,Male,Urban,Tertiary Education,HSC / A' Level,0,80,Facebook,2.33333333333333,Evening,Yes,No symtoms,1,2,1,2,4,3.92,1,3.92,2–4 h
15/06/2025 20:57:09,21,Female,Urban,HSC / A' Level,Madrasah,5,100,Otro,2,Evening,No,Feeling restless,1,5,1,1,5,5,1,5,0–2 h
23/06/2025 23:01:01,22,Female,Urban,Tertiary Education,Tertiary Education,0,97,Instagram,3,Evening,No,Irritability or agitation,3,3,3,3,3,3.3,3,3.3,2–4 h
23/06/2025 23:12:41,23,Female,Urban,Tertiary Education,Tertiary Education,5,80,Instagram,8,Night,Yes,No symtoms,3,3,3,5,3,3.25,5,3.25,>6 h
23/06/2025 23:33:27,23,Male,Urban,Tertiary Education,Tertiary Education,0,70,Instagram,8,Night,Yes,Trouble concentrating,3,5,2,1,5,3.3,2,3.3,>6 h
23/06/2025 23:39:04,23,Male,Urban,Tertiary Education,HSC / A' Level,0,70,Instagram,6,Night,No,No symtoms,4,3,3,3,3,3.18,4,3.18,4–6 h
23/06/2025 23:39:13,19,Female,Urban,HSC / A' Level,SSC / O' Level,1,80,YouTube,3,Morning,Yes,Irritability or agitation,5,5,5,5,5,4,5,4,2–4 h
