"Timestamp","Age","Gender","Residence.Area","Education.Level","Socioeconomic.status..Parent.s.education.level.","Study.time..In.Hours.","Attendance.rate..In.Percentile.","Social.Media.Platform","Time.spent.in.social.media..hours.","Most.time.spent.in.a.day","Physical.activity..30.min..","Withdrawal.symptoms..Side.effects.of.not.using.social.media.","Sleep.Disturbance.on.Sleep.Quality","Mood.Modification.Scale","Anxiety.Scale","Depression.Scale","Self.esteem.Scale","Last.Academic.Result..GPA.CGPA.","Social.Media.Distraction.During.Academic.Activities"
"26/04/2025 01:14:36",28,"Male","Urban","Tertiary Education","Tertiary Education",2,80,"YouTube",4,"Night","Yes","Feeling restless",4,3,4,5,4,"3.55",5
"26/04/2025 01:24:20",21,"Male","Rural","Tertiary Education","No education",3,60,"Instagram",5,"Afternoon","Yes","No symtoms",5,2,2,1,5,"3.1",3
"27/04/2025 21:38:37",17,"Female","Rural","HSC / A' Level","SSC / O' Level",6,70,"YouTube",2,"Night","Yes","Cravings",1,2,2,1,1,"A- ",1
"27/04/2025 21:42:51",22,"Male","Urban","Tertiary Education","HSC / A' Level",1,80,"Facebook",6,"Night","Yes","Feeling restless",3,2,3,3,3,"gpa 5/5",1
"27/04/2025 21:46:22",26,"Male","Urban","Tertiary Education","Tertiary Education",2,85,"Facebook",5,"Night","No","Cravings",4,3,4,3,4,"2.78",4
"27/04/2025 21:46:32",21,"Male","Urban","Tertiary Education","Tertiary Education",2,95,"YouTube",6,"Night","Yes","Cravings",1,4,2,3,4,"4",2
"27/04/2025 21:57:07",23,"Male","Urban","Tertiary Education","SSC / O' Level",4,95,"Facebook",8,"Night","Yes","Feeling restless",4,4,3,4,3,"3.91",4
"27/04/2025 22:00:49",20,"Female","Urban","Tertiary Education","HSC / A' Level",3,98,"Instagram",6,"Night","No","Feeling restless",3,3,3,3,3,"3.65",2
"27/04/2025 22:07:29",22,"Male","Urban","Tertiary Education","HSC / A' Level",4,97,"Facebook",2.5,"Night","No","No symtoms",4,4,4,4,4,"3",3
"27/04/2025 22:18:50",23,"Male","Rural","Tertiary Education","SSC / O' Level",3,100,"Facebook",3,"Evening","No","No symtoms",3,3,5,5,1,"3.51",1
"27/04/2025 22:29:42",22,"Male","Urban","Tertiary Education","Tertiary Education",1,60,"Instagram",1.5,"Night","Yes","No symtoms",5,4,3,4,3,"3",2
"27/04/2025 22:32:33",22,"Female","Urban","Tertiary Education","Tertiary Education",3,90,"YouTube",10,"Morning","No","Cravings",5,4,4,4,3,"4/4",5
"27/04/2025 22:36:03",19,"Male","Rural","HSC / A' Level","SSC / O' Level",5,90,"Instagram",6.5,"Night","Yes","No symtoms",1,1,1,1,1,"Gpa: 4.50",1
"27/04/2025 22:42:37",25,"Male","Urban","Tertiary Education","Tertiary Education",7,80,"YouTube",3,"Night","No","No symtoms",2,3,2,1,2,"1.89/1.83",4
"27/04/2025 22:47:44",22,"Female","Urban","Tertiary Education","Tertiary Education",0.5,25,"Instagram",2,"Night","No","No symtoms",2,4,3,2,3,"3.96",3
"27/04/2025 22:49:50",19,"Female","Rural","HSC / A' Level","SSC / O' Level",4,5,"Instagram",3,"Night","Yes","No symtoms",1,4,3,4,5,"GPA-3.89 ",2
"27/04/2025 23:06:42",20,"Female","Urban","Tertiary Education","SSC / O' Level",4,90,"Facebook",6.5,"Evening","Yes","No symtoms",3,2,2,3,2,"CGPA 4.00",1
"27/04/2025 23:48:56",24,"Male","Urban","Tertiary Education","Tertiary Education",1,10,"Instagram",4,"Night","No","Trouble concentrating",2,3,2,2,2,"2.5",2
"28/04/2025 00:11:33",24,"Male","Urban","Tertiary Education","Tertiary Education",0,60,"Facebook",2.5,"Night","No","Irritability or agitation",2,3,2,2,2,"3.5",4
"28/04/2025 00:34:55",23,"Male","Rural","HSC / A' Level","No education",2,90,"YouTube",2,"Night","No","No symtoms",3,3,4,3,4,"CGPA-4",1
"28/04/2025 01:17:19",27,"Male","Urban","Tertiary Education","SSC / O' Level",4,99,"Facebook",2,"Night","No","No symtoms",1,1,1,2,2,"3.5",4
