fit,lwr,upr,horas_redes,distraccion_acad,horas_estudio,asistencia
4.376654777997899,4.192522393187099,4.560787162808699,0,Distraccion baja,3.1660056657223787,86.29288637079007
4.185385731486159,4.0654392469408105,4.305332216031507,0,Distraccion media,3.1660056657223787,86.29288637079007
3.994116684974418,3.7843241110474097,4.203909258901427,0,Distraccion alta,3.1660056657223787,86.29288637079007
4.367204847224409,4.189714658736927,4.544695035711891,0.20202020202020202,Distraccion baja,3.1660056657223787,86.29288637079007
4.179979746445343,4.064157064155944,4.295802428734742,0.20202020202020202,Distraccion media,3.1660056657223787,86.29288637079007
3.9927546456662766,3.7890839853331975,4.196425305999355,0.20202020202020202,Distraccion alta,3.1660056657223787,86.29288637079007
4.3577549164509195,4.186788126198165,4.528721706703674,0.40404040404040403,Distraccion baja,3.1660056657223787,86.29288637079007
4.1745737614045275,4.062810194343447,4.286337328465608,0.40404040404040403,Distraccion media,3.1660056657223787,86.29288637079007
3.9913926063581346,3.7937495036193885,4.189035709096881,0.40404040404040403,Distraccion alta,3.1660056657223787,86.29288637079007
4.348304985677429,4.183728668377113,4.512881302977745,0.6060606060606061,Distraccion baja,3.1660056657223787,86.29288637079007
4.169167776363711,4.06139132845739,4.276944224270032,0.6060606060606061,Distraccion media,3.1660056657223787,86.29288637079007
3.990030567049993,3.7983117661618753,4.181749367938111,0.6060606060606061,Distraccion alta,3.1660056657223787,86.29288637079007
4.338855054903939,4.180520189666566,4.497189920141312,0.8080808080808081,Distraccion baja,3.1660056657223787,86.29288637079007
4.163761791322895,4.059892175284453,4.267631407361337,0.8080808080808081,Distraccion media,3.1660056657223787,86.29288637079007
3.9886685277418517,3.8027609013736736,4.17457615411003,0.8080808080808081,Distraccion alta,3.1660056657223787,86.29288637079007
4.3294051241304485,4.177144363032464,4.481665885228433,1.0101010101010102,Distraccion baja,3.1660056657223787,86.29288637079007
4.15835580628208,4.05830332925015,4.258408283314009,1.0101010101010102,Distraccion media,3.1660056657223787,86.29288637079007
3.9873064884337097,3.807085965618423,4.167527011248996,1.0101010101010102,Distraccion alta,3.1660056657223787,86.29288637079007
4.319955193356958,4.173580353724814,4.466330032989102,1.2121212121212122,Distraccion baja,3.1660056657223787,86.29288637079007
4.152949821241263,4.056614127980364,4.249285514502162,1.2121212121212122,Distraccion media,3.1660056657223787,86.29288637079007
3.985944449125568,3.811274839519679,4.160614058731457,1.2121212121212122,Distraccion alta,3.1660056657223787,86.29288637079007
4.310505262583468,4.16980454307098,4.4512059820959555,1.4141414141414141,Distraccion baja,3.1660056657223787,86.29288637079007
4.147543836200447,4.05481250361284,4.240275168788054,1.4141414141414141,Distraccion media,3.1660056657223787,86.29288637079007
3.9845824098174263,3.8153141240400106,4.153850695594842,1.4141414141414141,Distraccion alta,3.1660056657223787,86.29288637079007
4.301055331809978,4.165790274414783,4.436320389205172,1.6161616161616161,Distraccion baja,3.1660056657223787,86.29288637079007
4.142137851159631,4.052884834950257,4.231390867369004,1.6161616161616161,Distraccion media,3.1660056657223787,86.29288637079007
3.9832203705092843,3.8191890412021388,4.14725169981643,1.6161616161616161,Distraccion alta,3.1660056657223787,86.29288637079007
4.291605401036487,4.161507655015594,4.42170314705738,1.8181818181818181,Distraccion baja,3.1660056657223787,86.29288637079007
4.136731866118815,4.050815811896976,4.222647920340654,1.8181818181818181,Distraccion media,3.1660056657223787,86.29288637079007
3.981858331201143,3.8228833463997387,4.1408333160025474,1.8181818181818181,Distraccion alta,3.1660056657223787,86.29288637079007
4.282155470262998,4.1569234624770255,4.40738747804897,2.0202020202020203,Distraccion baja,3.1660056657223787,86.29288637079007
4.131325881077999,4.048588329414858,4.214063432741141,2.0202020202020203,Distraccion media,3.1660056657223787,86.29288637079007
3.9804962918930014,3.8263792617988646,4.134613321987138,2.0202020202020203,Distraccion alta,3.1660056657223787,86.29288637079007
4.2727055394895075,4.152001220945006,4.393409858034009,2.2222222222222223,Distraccion baja,3.1660056657223787,86.29288637079007
4.125919896037184,4.046183435437567,4.2056563566368,2.2222222222222223,Distraccion media,3.1660056657223787,86.29288637079007
3.9791342525848594,3.8296574433081005,4.128611061861618,2.2222222222222223,Distraccion alta,3.1660056657223787,86.29288637079007
4.263255608716017,4.146701527949717,4.379809689482317,2.4242424242424243,Distraccion baja,3.1660056657223787,86.29288637079007
