promedio,horas_redes,distraccion_acad,horas_estudio,asistencia,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,indice
3.55,4,5,2,80,3.8189511625903214,-0.2689511625903216,0.011358061031601904,0.6003019460242655,3.896555292266885e-4,-0.45111104723579176,1
3.1,5,3,3,60,3.7558135413516376,-0.6558135413516375,0.011089814718572014,0.5994304878080821,0.002260888801432243,-1.0998450546058873,2
4.5,2,1,6,70,4.301664737294861,0.19833526270513868,0.01964117752111496,0.6003814786927582,3.726534292635783e-4,0.33406959958886057,3
5,6,1,1,80,3.87906615389003,1.12093384610997,0.016345431782175728,0.5973960678252493,0.009839635009368438,1.884899623159658,4
2.7800000000000002,5,4,2,85,3.9118761259149855,-1.1318761259149852,0.005688257831404663,0.5973692145396184,0.003416959167613621,-1.8930721530632824,5
4,6,2,2,95,4.0744418500745105,-0.07444185007451054,0.008632092219852163,0.6004645972016383,2.2562567994727456e-5,-0.12468932717376058,6
3.9099999999999997,8,4,4,95,4.107233343400496,-0.1972333434004967,0.013412492045488496,0.600383151841555,2.484887773202071e-4,-0.3311632088949852,7
3.65,6,2,3,98,4.175616203978396,-0.5256162039783958,0.008118836171471445,0.5998073667639238,0.0010568657784390148,-0.8801738782945957,8
3,2.5,3,4,97,4.291606229120006,-1.2916062291200063,0.005442597375164927,0.5964276827762729,0.004255147448206938,-2.1599552585788646,9
3.51,3,1,3,100,4.373160150324757,-0.8631601503247568,0.010812405974688171,0.5986627102206207,0.0038164153898667236,-1.447376786570578,10
3,1.5,2,1,60,3.7926365348024484,-0.7926365348024484,0.016891318070148445,0.5989381208376596,0.00508998499821827,-1.3332232297717947,11
4,10,5,3,90,3.9553798573627126,0.04462014263728742,0.038400455654264934,0.600473066925465,3.832813090336314e-5,0.07588630051823841,12
4.5,6.5,1,5,90,4.238744445606805,0.2612555543931947,0.017166743486656234,0.6003108988498775,5.622987893911377e-4,0.43949623833178836,13
